"DateTime","Players","Average Players","Markers"
"2023-06-25 00:00:00",1303,992,
"2023-06-26 00:00:00",1068,795,
"2023-06-27 00:00:00",996,753,
"2023-06-28 00:00:00",977,713,
"2023-06-29 00:00:00",1013,721,
"2023-06-30 00:00:00",1059,748,
"2023-07-01 00:00:00",1345,968,
"2023-07-02 00:00:00",1510,1137,
"2023-07-03 00:00:00",1237,940,
"2023-07-04 00:00:00",1244,958,
"2023-07-05 00:00:00",1186,891,
"2023-07-06 00:00:00",1192,865,
"2023-07-07 00:00:00",1214,887,
"2023-07-08 00:00:00",1423,1086,
"2023-07-09 00:00:00",1591,1197,
"2023-07-10 00:00:00",1238,946,
"2023-07-11 00:00:00",1178,918,
"2023-07-12 00:00:00",1163,897,
"2023-07-13 00:00:00",1158,902,
"2023-07-14 00:00:00",1216,915,
"2023-07-15 00:00:00",1424,1071,
"2023-07-16 00:00:00",1516,1173,
"2023-07-17 00:00:00",1220,932,
"2023-07-18 00:00:00",1155,883,
"2023-07-19 00:00:00",1098,862,
"2023-07-20 00:00:00",1085,801,
"2023-07-21 00:00:00",1049,789,
"2023-07-22 00:00:00",1230,936,
"2023-07-23 00:00:00",1314,1010,
"2023-07-24 00:00:00",1448,963,
"2023-07-25 00:00:00",1754,1162,
"2023-07-26 00:00:00",1849,1218,
"2023-07-27 00:00:00",1915,1262,
"2023-07-28 00:00:00",1965,1301,
"2023-07-29 00:00:00",2243,1616,
"2023-07-30 00:00:00",2358,1747,
"2023-07-31 00:00:00",2115,1352,
"2023-08-01 00:00:00",2035,1304,
"2023-08-02 00:00:00",1934,1249,
"2023-08-03 00:00:00",1841,1187,
"2023-08-04 00:00:00",1735,1131,
"2023-08-05 00:00:00",2005,1374,
"2023-08-06 00:00:00",2169,1482,
"2023-08-07 00:00:00",1729,1117,
"2023-08-08 00:00:00",1641,1061,
"2023-08-09 00:00:00",1518,991,
"2023-08-10 00:00:00",1384,945,
"2023-08-11 00:00:00",1403,946,
"2023-08-12 00:00:00",1689,1165,
"2023-08-13 00:00:00",1875,1295,
"2023-08-14 00:00:00",1543,1002,
"2023-08-15 00:00:00",1564,981,
"2023-08-16 00:00:00",1429,947,
"2023-08-17 00:00:00",1373,912,
"2023-08-18 00:00:00",1382,895,
"2023-08-19 00:00:00",1598,1113,
"2023-08-20 00:00:00",1699,1198,
"2023-08-21 00:00:00",1393,907,
"2023-08-22 00:00:00",1349,841,
"2023-08-23 00:00:00",1387,848,
"2023-08-24 00:00:00",1353,868,
"2023-08-25 00:00:00",1382,875,
"2023-08-26 00:00:00",1594,1076,
"2023-08-27 00:00:00",1607,1176,
"2023-08-28 00:00:00",1356,875,
"2023-08-29 00:00:00",1296,836,
"2023-08-30 00:00:00",1257,802,
"2023-08-31 00:00:00",1196,766,
"2023-09-01 00:00:00",1198,758,
"2023-09-02 00:00:00",1368,946,
"2023-09-03 00:00:00",1439,1013,
"2023-09-04 00:00:00",1235,846,
"2023-09-05 00:00:00",1066,733,
"2023-09-06 00:00:00",979,646,
"2023-09-07 00:00:00",963,640,
"2023-09-08 00:00:00",1179,756,
